architecture,family,sid,budget,clean_observability,capacity,attack_channels,attack_abstention
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-5,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-5,1,0.9999999999117193,0.9999926136549968,permission,0
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-5,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-6,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-6,1,0.9999999999117193,0.9999926136549968,permission,0
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-6,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-7,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-7,1,0.9999999999117193,0.9999926136549968,permission,0
witness-hardened,unauthorized_delegation,cap-witness-hardened-unauthorized_delegation-7,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-0,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-0,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-0,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-1,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-1,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-1,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-2,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-2,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-2,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-3,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-3,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-3,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-4,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-4,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-4,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-5,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-5,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-5,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-6,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-6,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-6,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-7,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-7,1,0.9999999999117193,0.9999999974439943,identity,0
witness-hardened,credential_misuse,cap-witness-hardened-credential_misuse-7,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,ignored_warning,cap-witness-hardened-ignored_warning-0,0,0.9999999999117193,0.9999999999117193,,0
witness-hardened,ignored_warning,cap-witness-hardened-ignored_warning-0,1,0.9999999999117193,0.9999999999117193,,0
witness-hardened,ignored_warning,cap-witness-hardened-ignored_warning-0,2,0.9999999999117193,0.0,action|receipt,1
witness-hardened,ignored_warning,cap-witness-hardened-ignored_warning-1,0,0.9999999999117193,0.9999999999117193,,0
